id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
11;"La double vie de Jésus";"Enrique Serna";9.99;"La ville de Cuernavaca est une poudrière dont tous les niveaux ont été infiltrés par les narcotrafiquants. La vie quotidienne est ponctuée par les échanges de coups de feu, la découverte de cadavres décapités, les cartels se disputent la place. Comment un homme disposé à défendre ses convictions jusqu’au bout, à mettre en pratique ses idéaux de légalité et de justice, peut-il se battre sur ce terrain miné ? Jesús a su, malgré la corruption ambiante, se tenir à l’écart des factions qui utilisent le pouvoir à des fins personnelles. Et il pense qu’il peut accéder à la mairie. Il va se retrouver dos au mur, pris entre les pouvoirs institutionnels et le crime organisé : menaces de mort, tentatives de corruption, scandales médiatiques, enlèvements, vengeances sanglantes... Mais dans le même temps il découvre l’amour de sa vie, un amour interdit et scandaleux, fatal pour la réputation d’un homme politique. Avec un humour ravageur, cruel comme la réalité qu’il décrit avec un incroyable sens du suspense, Enrique Serna écrit un roman d’amour fou où la morale des apparences s’effondre devant l’ouragan de la passion.";1;2016;"Métailié";"vdhxdwaaqbaj.jpeg";72
12;"Venise à double tour";"Jean-Paul Kauffmann";7.99;"Il y a une Venise de l’évidence et une Venise invisible qui refuse de livrer ses secrets : Celle des églises, jamais ouvertes. Pourquoi sont-elles inaccessibles ? Jean-Paul Kauffmann a essayé de forcer ces portes solidement cadenassées où des œuvres dorment dans le silence.";1;2019;"Humensis";"bnuidwaaqbaj.jpeg";2
13;"Nathalie double dans les virages";"Franck Marchal";6.99;"Le téléphone est une drôle d’invention. Tant pis pour les imprudents qui s’en servent pour multiplier les coupables autour d’un cadavre douteux. Ils pourraient bien trouver, sur la ligne du commissaire Pippard ou de l’inspecteur Marchal, le petit radar individuel de Nathalie Princesse ! L’illustre mannequin va-t-elle être battue par ses propres armes : l’intelligence et la beauté ? Elle rencontre cette fois, un adversaire à sa taille, qui a des griffes : la fatale et cruelle Marjane. Mais Nathalie garde en réserve un dernier atout : sa tête de mule et son culot d’empereur. Après avoir failli perdre son amour et la vie, elle goûtera l’ivresse du triomphe dans les bras du beau Franck arraché in extremis aux séductions de Marjane. La véritable odyssée de Nathalie au volant d’une voiture volée restera l’un des documents les plus étonnants des « Dossiers secrets ». Doubler dans les virages sans être en infraction avec le code, est un tour. de force qui paraît inconcevable pour n’importe qui. Mais si quelqu’un n’est pas n’importe qui, c’est bien Nathalie Princesse !";1;1956;"FeniXX";"lcabdwaaqbaj.jpeg";110
14;"Vidocq ou le double jeu";"COLLECTIF";3.99;"Un extrait des Grands procès de l'histoire (Tome 2). 17 août 1842 : peu avant l'aube, les abords de la galerie Vivienne, en plein cœur de Paris, sont bloqués par la police. Une centaine d'agents participent à l'opération que dirigent les commissaires Elouin et Dagnès-Giraud. A 5 heures du matin, ils appréhendent, au numéro 13 de la galerie, un personnage hors du commun : François Vidocq, bientôt septuagénaire, ancien chef de la brigade de Sûreté1 dont il fut le fondateur. Un tribunal, un juge, un accusé... et un crime. Nulle part l'intensité dramatique n'est plus grande que dans la salle où se déroule un procès. Les sentiments y sont exacerbés et les images teintées de sang. Le plus souvent, c'est une époque tout entière qui est convoquée à la barre.";1;2013;"Omnibus";"pil7b7n3kq8c.jpeg";2
15;"813 (1. la double vie d'Arsène Lupin – 2. les trois crimes d'Arsène Lupin)";"Maurice Leblanc";1.99;"Rudolf Kesselbach, richissime et ambitieux roi du diamant sud-africain, est cambriolé et assassiné, la carte d'Arsène Lupin est découverte et tout indique que Lupin, qui a fait le mort depuis l'affaire de l'Aiguille au point que beaucoup ont cru à sa mort, cette fois n'a pas seulement neutralisé et volé sa victime, il a aussi versé le sang... Suivi de 813, les trois crimes d'Arsène Lupin : suite aux évènements du premier tome, Arsène Lupin se retrouve enfermé à la Santé tout en poursuivant son enquête... Maurice Leblanc a conçu '813' comme la dernière aventure d'Arsène Lupin. Le roman est moins 'léger', les morts violentes s'enchaînent et si Lupin est toujours sûr de lui, il trouve un adversaire qui a souvent un coup d'avance : un certain L...M... qui serait l'assassin de Kesselbach. Format professionnel électronique © Ink Book édition.";1;2013;"Ink book";"szsccwaaqbaj.jpeg";27
16;"Un espion dans le siècle (1) : La diagonale du double";"Constantin Melnik";11.99;"La révolution d’Octobre et les convulsions de la guerre civile en Russie, l’affrontement de l’Occident avec Staline et les grandes affaires d’espionnage de la deuxième moitié du XXe siècle, l’assassinat de Nicolas II et une Seconde Guerre mondiale fort buissonnière, un portrait insolite du général de Gaulle et une guerre d’Algérie présentée sous un angle entièrement nouveau, tels sont les points forts d’une fresque autobiographique saisissante de puissance et d’ampleur. Mais l’auteur est d’origine russe, et des interrogations poignantes sous-tendent ce flot d’événements exceptionnels et cette galerie de personnages hors du commun. Le pouvoir ne s’exerce-t-il pas aux frontières du crime, comme le suggèrent les révélations d’ Un espion dans le siècle sur les opérations les plus secrètes des services spéciaux du gaullisme ? L’espionnage n’implique-t-il pas un dédoublement dramatique mais enrichissant de la personnalité ? La littérature consiste-t-elle seulement à fabriquer des feuilletons ou à chasser le prix Goncourt ? Éditeur et dernier monstre sacré de l’espionnage, « l’une des personnalités les plus influentes, d’après Le Monde, des débuts de la Ve République », Constantin Melnik a réalisé une étonnante prouesse littéraire. Homme de l’ombre et du mystère, il a réussi à donner une forme originale à l’une de ces grandes autobiographies qui, denses et ensorcelantes, se lisent, riches d’histoire, comme le plus passionnant des romans.";1;1994;"FeniXX";"nkcadwaaqbaj.jpeg";8
17;"Les justiciers (Tome 3) - Une offre à double tranchant";"Zoë Archer";5.99;"Bronwyn Parrish a tout perdu à la mort de son mari. Elle envisage de trouver un emploi pour subsister lorsqu’elle reçoit la visite de l’énigmatique Marco, un agent de la Némésis. Cette organisation secrète qui lutte contre la corruption soupçonne de détournement de fonds Devere, l’homme qui a raflé les possessions de Bronwyn afin de rembourser les dettes de son défunt époux. Or la jeune femme est la seule à pouvoir identifier Devere qui s’est enfui en France. Il lui faut donc accompagner Marco. Tout d’abord réticente à s’en remettre à un total étranger, Bronwyn finit par se laisser entraîner dans l’aventure et, pour la première fois de sa vie, goûte à la saveur grisante de la liberté.";1;2015;"J'ai Lu";"kghicgaaqbaj.jpeg";20
18;"René Magritte le double sens des images";"Anne Durand";4.99;"Le nom du peintre René Magritte est associé par le public au mystère et au surréalisme. L'artiste est le plus souvent présenté comme un intellectuel dialoguant avec les philosophes de son temps sur le rapport des images et des mots. Et pourtant il existe un autre Magritte laissé dans l'ombre qui apparaît dans cet essai comme « le peintre de l'absence ». Le premier complice de l'artiste, le surréaliste Paul Nougé, nous invite à approcher autrement son génie. À condition d'accepter de lire « au pied de la lettre » certains tableaux célèbres, l'histoire dramatique du peintre se révèle à mots couverts, comme il le dit, sous une forme nouvelle et jamais osée jusque-là. Au travers des propos de Nougé, ce que Magritte appelait lui-même « sa poésie inquiétante » livrerait ici son plus émouvant secret.";1;2016;"Editions Edilivre";"-kildgaaqbaj.jpeg";10
19;"LE DOUBLE JEU";"Yves Hajos";2.99;"En 2006, nous déposons un permis de construire un immeuble à Cannes. La ville mondialement célèbre pour son Tapis Rouge. Pouvais-je imaginer qu'en mars 2009, le maire Adjoint à l'Urbanisme avait supprimé les mots Liberté Egalité Fraternité au profit de : 'Vous qui entrez dans mon bureau, oubliez toutes vos espérances'' Bienvenue dans le monde des politiciens pas si exemplaires. Des avocats qui exercent leur métier avec un dévouement pas si exemplaire. Des juges qui rendent une décision pas si exemplaire en 2021. Pénétrez, à votre tour, dans les coulisses de la mairie de Cannes et dans l'antre austère de l'Ordre des Avocats de Nice.";1;2021;"BoD - Books on Demand";"re4weaaaqbaj.jpeg";10
20;"Double Me - Tome 4";"Florent Maudoux";5.99;"Aiko est enfin entre les mains de la police, mais, avec l'aide de son père et des yakuzas, elle parvient à s'enfuir. Malheureusement pour elle, le père de Cho, animé par son désir de vengeance, réussit à l'intercepter. Miss Psycho pourra-t-elle encore compter sur l'intelligence artificielle de Double.me pour s'en sortir... ?";1;2020;"Ankama";"aidwdwaaqbaj.jpeg";9
21;"Coup double";"Susan Hayes";3.99;"Quand il s’agit d’amour, parfois le meilleur pari est de faire coup double. Kit et Luke Armas sont des cyborgs créés pour un but, la bataille. Maintenant que la guerre est finie, ils doivent se battre pour se faire une place dans un univers pour lequel ils étaient destinés à mourir, mais dont ils ne feront jamais partie. La pilote de fret Zura Watson est arrivée au bord de l’espace civilisé pour recommencer sa vie. Le Drift est un paradis pour les chassés, les perdus et ceux qui cherchent une seconde chance. C’était aussi le dernier endroit dans le cosmos où Zura s’attendait à trouver l’amour. Lorsque les ombres du passé menacent d’éclipser l’avenir de ce trio, ils devront se battre pour leur chance de connaître l’amour et la vie dont ils ont toujours rêvé. Note de l'éditeur: Romance science-fiction MFM. Bien que faisant partie d'une série, ce récit peut être lu en standalone";1;2018;"Juno Publishing";"qgtddwaaqbaj.jpeg";50
22;"Moi en Double";"Navie";10.99;"Un jour, Navie a compris qu'elle portait le poids d'une deuxième personne. Un double qu'elle a dû éliminer pour survivre... Un témoignage rare et fort sur le regard que l'on porte sur soi, sublimé par le dessin d'Audrey Lainé. Navie était malade. Elle était en obésité morbide et souffrait chaque jour, avec le sourire sans jamais le montrer... L'acceptation de soi est ce qui lui tient le plus à coeur, mais comment aimer cette fille dans le miroir qui n'est que le reflet de sa souffrance ? Navie portait son double. Un double qu'elle a aimé, qu'elle a essayé de fuir puis de tuer. Mais comment fait-on pour se tuer sans mourir ?";1;2019;"Delcourt";"1pwvdwaaqbaj.jpeg";36
23;"Deux opposés, une destinée - Double identité pour un Fortune";"Sara Orwig";5.99;"Deux opposés, une destinée, Sara Orwig Noah est de retour après sa mission en Afghanistan. Camilla ne peut garder ce secret pour elle plus longtemps, elle doit lui dire qu’il a un fils de quinze mois, Ethan... Même si cela lui coûte de le revoir alors qu’elle n’a jamais cessé de l’aimer. Car ils aspirent tous deux à une vie contraire : Noah, en communion avec la nature dans son ranch, elle, épanouie comme artiste peintre dans une grande ville. Double identité pour un Fortune, Tara Taylor Quinn Nolan a une double identité. Il n’est pas Nolan Forte, le joueur de saxophone qui a su ravir son cœur lors d’une nuit passionnelle, mais un richissime banquier du nom de Fortune. Et dire que Lizzie pensait être la seule à lui avoir menti en lui cachant sa paternité... Impossible désormais de penser à des projets d’avenir avec cet homme, alors qu’elle tient les nantis en horreur depuis son plus jeune âge.";1;2019;"Harlequin";"b6uodwaaqbaj.jpeg";76
24;"Agents et associés (Tome 4) - Double objectif";"Layla Reyne";5.99;"Ancien agent gradé du FBI, Melissa Cruz a passé des années à flirter avec la mort, chacune de ses enquêtes pouvant être la dernière. Aujourd’hui déterminée à profiter de la vie, elle rêve d’offrir à Daniel Talley, l’amour de sa vie, un Noël inoubliable. Mais ses plans tombent à l’eau lorsque le vaisseau amiral de sa belle-famille est attaqué durant un cocktail... auquel Daniel participe ! Une véritable course contre la montre s’engage, et les deux amants sont prêts à tout pour sauver leur avenir...";1;2020;"J'ai Lu";"kt_bdwaaqbaj.jpeg";39
25;"La double mort des Templiers";"Jacques Maurin";7.99;"L’ésotérisme du Temple : le sous-titre de cet ouvrage éclaire le sens profond de la recherche de Jacques Maurin. L’Ordre des pauvres chevaliers de la milice du Christ et du Temple de Salomon avait bien été créé pour protéger les pèlerins en Terre Sainte ; mais, plus profondément, c’était un ordre initiatique voué à la quête de la véritable connaissance. Étudiant la Tradition, avec Abraham et Melchisedec, le Graal, le baphomet..., analysant les symboles des chapelles templières, interprétant les graffiti de Chinon et de Domme, examinant la règle de l’Ordre, Jacques Maurin met en lumière le grand courant ésotérique qui animait le Temple et sa haute valeur spirituelle. Il ne faut pas chercher ailleurs le fameux trésor des Templiers.";1;1982;"FeniXX";"kxmjdwaaqbaj.jpeg";3
26;"Double assassinat dans la rue Morgue";"Edgar Allan Poe";0;"Double assassinat dans la rue Morgue (The Murders in the Rue Morgue dans l'édition originale) est une nouvelle d'Edgar Allan Poe, parue en avril 1841 dans le Graham's Magazine, traduite en français d'abord par Isabelle Meunier puis, en 1856, par Charles Baudelaire dans le recueil Histoires extraordinaires. C'est la première apparition du détective inventé par Poe, le Chevalier Dupin qui doit faire face à une histoire de meurtre incompréhensible pour la police. Extrait : « La chambre était dans le plus étrange désordre ; les meubles brisés et éparpillés dans tous les sens. Il n'y avait qu'un lit, les matelas en avaient été arrachés et jetés au milieu du parquet. Sur une chaise, on trouva un rasoir mouillé de sang ; dans l'âtre, trois longues et fortes boucles de cheveux gris, qui semblaient avoir été violemment arrachées avec leurs racines. Sur le parquet gisaient quatre napoléons, une boucle d'oreille ornée d'une topaze, trois grandes cuillers d'argent, trois plus petites en métal d'Alger, et deux sacs contenant environ quatre mille francs en or. Dans un coin, les tiroirs d'une commode étaient ouverts et avaient sans doute été mis au pillage, bien qu'on y ait trouvé plusieurs articles intacts. Un petit coffret de fer fut trouvé sous la literie (non pas sous le bois de lit) ; il était ouvert, avec la clef de la serrure. Il ne contenait que quelques vieilles lettres et d'autres papiers sans importance.";1;2015;"Bibebook";"puowcwaaqbaj.jpeg";90
27;"Le double langage de l'architecture";"Paul-Henri David";16.99;"Face à l'objet architecture, l'homme peut adopter deux attitudes bien distinctes. Il peut le regarder comme un tableau ou un écran de cinéma. Il peut au contraire participer à son dynamisme. L'architecture a un double langage en ce qu'elle dit les formes et laisse entrevoir les forces qui les animent. Les formes sont elles-mêmes ambiguës, que ce soit celles de matériaux, souvent trompeuses, ou des éléments architecturaux tels que les ouvertures qui participent de deux mondes, intérieur et extérieur.";1;2003;"Editions L'Harmattan";"wj67wkrnt2uc.jpeg";0
28;"Un passé contraignant";"Michèle Bacholle";27;"Etude sur Annie Ernaux, Farida Belghoul et la Neuchâteloise Agota Kristof.";1;2000;"Rodopi";"pukr8yczzzoc.jpeg";3
29;"Double peine";"Ahmed Zaki";12.99;"« La double peine n'est pas une mesure de justice. C'est une mesure d'humiliation qui vise à faire perdre sa dignité et son identité à un individu. Elle touche aussi directement aux familles, provoquant de profondes failles dans la vie privée et des cassures inévitables. C'est enfin une sanction collective : l'entourage de la personne faisant l'objet d'une mesure d'interdiction du territoire, souvent de nationalité française, est entraîné dans cette tragédie humaine. L'écrasante vague de la double peine détruit tout sur son passage, jusqu'à la noyade. » Entre 1996 et 2009, Ahmed Zaki a vécu l'expérience difficile de la « double peine ». Né au Maroc, arrivé en France à l'âge de 12 ans, condamné pour trafic de stupéfiants, il sera reconduit à la frontière à sa sortie de prison. Pour un même crime ou délit, une personne de nationalité étrangère subit une condamnation plus lourde qu'une personne de nationalité française. Que répondre à ces prises de position justifiées par la peur du terrorisme ? Porté par l'analyse de Yann Galut, avocat engagé dans ses jeunes années auprès de SOS Racisme, et d'Étienne Pinte, président du Conseil national des politiques de lutte contre la pauvreté et l'exclusion sociale, ce témoignage pose la nécessaire question de l'égalité devant la loi pénale.";1;2017;"Editions Michalon";"rdokdwaaqbaj.jpeg";21
30;"L'un-l'autre ou le double en question";"Sylvie Camet";7.49;"Rassembler, sous une thématique unique, en l'occurrence celle du double, les récits que sont 'L'étrange histoire de Peter Schlemihl', 'Le double', 'Le Horla', 'La méprise', revient à donner d'emblée à la notion de double sa plus large extension. Effectivement, il apparaît qu'une hallucination, comme celle que connaît le protagoniste du Horla, n'a pas nécessairement à voir avec un phénomène d'autoscopie. La présence de l'invisible, la crainte du fantôme, peuvent se développer pour elles-mêmes, sans que le témoin soit forcément préoccupé d'une duplication de soi à travers la manifestation de l'Autre.";1;1995;"FeniXX";"xcakeaaaqbaj.jpeg";32
31;"La double mort du roi Louis XIII";"Françoise Hildesheimer";8.99;"Dans la galerie des rois de France, Louis XIII fait grise mine, coincé qu’il est entre son père, Henri IV, et son fi ls, Louis XIV. S’intéresse-t-on à son règne, c’est le nom de Richelieu, son ministre, qui fl amboie ; au point que les livres d’histoire sautent parfois sans vergogne de la mort du cardinal, en décembre 1642, aux débuts tumultueux du futur Roi-Soleil. C’est oublier que Louis a survécu six mois à son ministre : six mois ignorés de la postérité, mais capitaux pour l’histoire de France. Car entre décembre 1642 et mai 1643, il est à la tête d’un pays en guerre contre l’Espagne, au centre d’une Cour déchirée par les cabales. On sait le roi malade ; le dauphin est un enfant ; qui va assumer la régence ? La reine, Anne d’Autriche, le frère du roi, Gaston d’Orléans, les princes du sang et les grands s’allient, se brouillent et complotent, cependant qu’un quasi-inconnu nommé Giulio Mazarini progresse dans les allées du pouvoir... En sa longue agonie, Louis poursuivit un dessein unique : assurer le destin du trône de France. Et, en grand roi qu’il était, il y parvint";1;2011;"Flammarion";"aaoptyh-mdqc.jpeg";33
32;"La double vie de Théophraste Longuet";"Gaston Leroux";1.99;"Une chasse au trésor, un bourgeois peureux et héros malgré lui, puis le fantôme d’un célèbre bandit du XVIIIe siècle... Tous les ingrédients sont réunis pour un grand roman d’aventure des plus fantaisistes et mouvementés... Figure majeure des acteurs de romans policiers, Gaston Leroux est sans doute le dernier des géants du roman-feuilleton, digne héritier d’Alexandre Dumas. En 1903, commence la publication de La Double vie de Théophraste Longuet, premier des 15 romans-feuilletons qui sortiront dans le journal Le Matin jusqu’en 1924. Comme il est rappelé dans l’éditorial du cinquième numéro des Cahiers semestriels du Cercle Gaston-Leroux : « La Double vie de Théophraste Longuet est le premier roman feuilleton de Gaston Leroux. La version originale avait pour titre Le Chercheur de trésors et avait paru en feuilleton quotidiens dans Le Matin, du 5 octobre au 22 novembre 1903. Pour son lancement, une véritable course au trésor avait été organisée. Le numéro du journal du 4 octobre 1903 publiait, en première page, un long article de Gaston Leroux où celui-ci annonçait la publication du roman ainsi que les conditions de cette course au trésor. » Format professionnel électronique © Ink Book édition.";1;2013;"Ink book";"wd0ccwaaqbaj.jpeg";26
33;"Batman - Les tourments de Double-Face - Intégrale";"Paul Jenkins";7.99;"Une série de meurtres particulièrement sauvages plonge Gotham dans une terreur plus profonde que d'ordinaire. Le mode opératoire des carnages semble désigner comme suspect potentiel Double-Face, autrefois connu comme le procureur Harvey Dent et aujourd'hui fugitif, échappé de l'asile d'Arkham. En pleine crise de démence, Dent se débat avec sa double identité, chacune de ses personnalités cherchant à d'éliminer l'autre. En plein combat contre Batman et contre lui-même, le criminel perd peu à peu tout contact avec la réalité. (contient Jekyll & Hyde #1-6 )";1;2019;"Urban Comics";"ero_dwaaqbaj.jpeg";48
