id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
11;"Une double famille";"Honoré de Balzac";2.49;"Caroline Crochard, une délicieuse jeune fille vivant avec sa mère dans des conditions sordides, passe son temps à la fenêtre tout en faisant de la couture. Le juge Granville, un aristocrate trop tôt marié à une bigote et malheureux en ménage, aperçoit la jeune fille et en tombe amoureux. Balzac entraîne ensuite le lecteur quelques années plus tard, où la même jeune fille est richement installée dans un appartement luxueux, avec deux enfants que le père, Roger de Granville, aristocrate et magistrat dont on a mesuré la droiture dans Une ténébreuse affaire n'a pu reconnaître puisqu'il est marié.";1;2018;"BoD - Books on Demand";"content?id=OmljDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";22
12;"Double sens";"Lauren Barnholdt";9.99;"Leur road trip aurait dû être parfait... s’ils n’avaient pas rompu quelques jours plus tôt ! Courtney n’avait absolument pas prévu de tomber amoureuse de Jordan. Ni Jordan de Courtney, à vrai dire. Elle est obsédée par l’ordre et les listes et lui est incapable de prendre quoi que ce soit au sérieux. Ils forment un couple improbable... et genial ! Jusqu’au jour où Jordan rompt. Courtney ne l’a pas vu venir non plus. Hors de question de rester en présence de ce traître une minute de plus ! Sauf que les amoureux avaient prévu de faire la route ensemble jusqu’à l’université, dans la voiture de Jordan. Trois jours d’enfer assis à moins d’un mètre l’un de l’autre... Attention, mauvaise foi et règlements de compte à l’horizon !";1;2015;"Castelmore";"content?id=wTyMBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";25
13;"Double fond";"Elsa Osorio";12.99;"Une femme, médecin sans histoire, est retrouvée noyée près de Saint-Nazaire. La jeune journaliste locale ne croit pas à la thèse du suicide et remonte le fil : elle découvre l'horreur de la dictature argentine, et un étrange échange de mails entre un jeune homme en colère et une femme qui a bien connu cette période. Parallèlement, une mère raconte à son fils pourquoi il a dû grandir sans elle. Perdue dans les marécages de la dictature militaire, cette militante révolutionnaire a échangé sa liberté contre la vie de son enfant et accepté de collaborer avec la dictature, en particulier au Centre pilote de Paris. Traître aux yeux de tous, avec la survie pour seul objectif, elle va disparaître. Elsa Osorio construit un kaléidoscope vertigineux et bouleversant. Les péripéties s'enchaînent, haletantes : tortionnaires mafieux, violence, passion amoureuse, habileté à jouer avec les identités clandestines, dans un intense suspense psychologique. L'auteur de Luz ou le temps sauvage atteint ici le sommet de son art de romancière profonde et habile.";1;2018;"Métailié";"content?id=I9LXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";19
14;"L'éditeur et son double";"Hubert Nyssen";11.99;"Dans le troisième volume de ces carnets, il est toujours question de voyages et de chasses aux coups de coeur, de livres parus et d'auteurs apparus, de conciliabules sous un platane et de 'domaines privés'.";1;2017;"Éditions Actes Sud";"content?id=lvcoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";50
15;"Hypnotisme et double conscience";"Théodule Ribot";3.49;"Les mémoires qui suivent sont connus ; ils ont été publiés à diverses époques, dans divers recueils scientifiques, et ont été appréciés par les physiologistes et les psychologues qui s’occupent des questions de cet ordre. Il en est qui sont comme classiques. J’ai eu en effet l’honneur de faire entrer dans la science les études qui en font le sujet. Le premier, en France, j’ai répété les expériences de Braid, et j’ai ainsi arraché l’hypnotisme à la crédulité et au charlatanisme. Fruit d’une sélection réalisée au sein des fonds de la Bibliothèque nationale de France, Collection XIX a pour ambition de faire découvrir des textes classiques et moins classiques dans les meilleures éditions du XIXe siècle.";1;2016;"Collection XIX";"content?id=c9gnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";33
16;"La double demeure";"Albert A. Neher";5.99;"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.";1;1965;"FeniXX";"content?id=4eNYDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";30
17;"La double Pensée - retour sur la question libérale";"Jean-Claude Michéa";8.99;"> Disponible prochainement Le libéralisme est, fondamentalement, une pensée double: apologie de l'économie de marché, d'un côté, de l'État de droit et de la libération des mœurs de l'autre. Mais, depuis George Orwell, la double pensée désigne aussi ce mode de fonctionnement psychologique singulier, fondé sur le mensonge à soi-même, qui permet à l'intellectuel totalitaire de soutenir simultanément deux thèses incompatibles. Un tel concept s'applique à merveille au régime mental de la nouvelle intelligentsia de gauche. Son ralliement au libéralisme politique et culturel la soumet, en effet, à un double bina affolant. Pour sauver l'illusion d'une fidélité aux luttes de l'ancienne gauche, elle doit forger un mythe délirant: l'idéologie naturelle de la société du spectacle serait le néoconservatisme, soit un mélange d'austérité religieuse, de contrôle éducatif impitoyable, et de renforcement incessant des institutions patriarcales, racistes et militaires. Ce n'est qu'à cette condition que la nouvelle gauche peut continuer à vivre son appel à transgresser toutes les frontières morales et culturelles comme un combat anticapitaliste. La double pensée offre la clé de cette étrange contradiction. Et donc aussi celle de la bonne conscience inoxydable de l'intellectuel de gauche moderne.";1;2010;"Flammarion";"content?id=CKEeEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";21
18;"Le théâtre et son double";"Antonin Artaud";2.99;"Jamais, quand c’est la vie elle-même qui s’en va, on n’a autant parlé de civilisation et de culture. Et il y a un étrange parallélisme entre cet effondrement généralisé de la vie qui est à la base de la démoralisation actuelle et le souci d’une culture qui n’a jamais coïncidé avec la vie, et qui est faite pour régenter la vie. Avant d’en revenir à la culture je considère que le monde a faim, et qu’il ne se soucie pas de la culture : et que c’est artificiellement que l’on veut ramener vers la culture des pensées qui ne sont tournées que vers la faim. À PROPOS DE L'AUTEUR Antonin Artaud, né le 4 septembre 1896 à Marseille et mort le 4 mars 1948 à Ivry-sur-Seine, est un théoricien du théâtre, acteur, écrivain, essayiste, dessinateur et poète français. La poésie, la mise en scène, la drogue, les pèlerinages, le dessin et la radio, chacune de ces activités a été un outil entre ses mains, « un moyen pour atteindre un peu de la réalité qui le fuit ». Toute sa vie, il a lutté contre des douleurs physiques, diagnostiquées comme issues de syphilis héréditaire, avec des médicaments, des drogues. Cette omniprésence de la douleur influe sur ses relations comme sur sa création. Il subit aussi des séries d'électrochocs lors d'internements successifs, et il passe les dernières années de sa vie dans des hôpitaux psychiatriques, notamment celui de Rodez. Si ses déséquilibres mentaux ont rendu ses relations humaines difficiles, ils ont aussi contribué à alimenter sa création. Il y a d'un côté ses textes « fous de Rodez et de la fin de sa vie », de l'autre, selon Évelyne Grossmann, les textes fulgurants de ses débuts.";1;2021;"Librofilio";"content?id=FUUyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";14
19;"Ma double vie avec Chagall";"Caroline GRIMM";11.99;"La toile de sa vie Retour sur le destin hors du commun de Moishe Zakharovich Shagalov, pauvre gamin d'un shtetl russe, à qui André Malraux propose la rénovation du plafond du palais Garnier en 1964. Le peintre accepte, refusant d'être rémunéré pour ce qu'il considère comme la consécration ultime par son pays d'adoption. Les douze panneaux sont l'illustration éclatante de son énergie créatrice. Il a alors soixante-dix-sept ans. Dès son arrivée à Paris en 1911 à l'âge de vingt-trois ans, Chagall n'aura de cesse de croire en ses rêves face aux échecs et aux drames qui viendront bouleverser le XXème siècle. À ses côtés, pendant trente-cinq ans et par-delà sa mort en 1944, son amour légendaire, Bella, qui fut sa muse, son modèle et sa première femme. Ils firent ensemble le choix absolu de la beauté, de la couleur et de l'art comme remparts face à l'adversité. Prêtant sa voix à Bella, l'éternelle fiancée qui survole ses compositions oniriques, Caroline Grimm revisite les toiles, comme autant d'expression des états d'âme du peintre. Invitation au voyage dans l'univers incomparable d'un artiste de génie, Ma double vie avec Chagall célèbre la gloire du cœur, credo du peintre et du couple. De Vitebsk à Paris en passant par Berlin et New York, l'histoire d'une passion flamboyante, à l'image des toiles du maître.";1;2021;"Héloïse d'Ormesson";"content?id=Vn8qEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";28
20;"Double meurtre à l'abbaye";"Jacqueline Mirande";3.49;"À la fin du XIIe siècle, un pèlerin de Saint-Jacques est retrouvé assassiné dans l'enceinte de l'abbaye de Hautefage. Peu après, un homme qui détenait de précieuses informations sur le crime meurt à son tour, noyé. Qui est le meurtrier ? Plus l'enquête avance, plus on se demande s'il y a encore des innocents... 'Jérôme souleva le corps avec effroi : non que la mort elle-même lui fasse peur, mais penser qu'un meurtre ait pu être commis dans l'enceinte même de l'abbaye et au matin de la fête solennelle de Saint-Martin le remplissait d'horreur, comme si le prince des ténèbres en personne avait signé le crime.'";1;2012;"Flammarion Jeunesse";"content?id=gS9MZ6C6--0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";15
21;"Le double en traduction ou l’(impossible ?) entre-deux. Volume 2";"Michaël Mariaule";9.99;"Ce volume poursuit l’exploration du concept de « double » en traduction, entamée dans notre premier recueil consacré à cette thématique (Le double en traduction ou l’(impossible ?) entre-deux, vol. 1, APU, 2011). Certaines approches adoptées dans le premier volume sont ici complétées et approfondies, avec le cas spécifique de l’auto-traduction, l’étude du lien entre écrivain et traducteur ou encore la retraduction poétique. D’autres notions sont également abordées, comme l’intertextualité, l’étranger dans la langue ou la variation engendrée par le lectorat visé (anglais ou américain). Les articles ici réunis, mettant en jeu le couple de langues anglais-français, reflètent une diversité de points de vue et, par leur richesse, montrent à quel point l’idée de « double » en traduction est féconde, par les problèmes qu’elle met au jour, les interrogations qu’elle soulève, mais aussi par les ponts qu’elle établit avec les notions connexes d’« entre-deux », d’« hybridité » ou de « variabilité ». Le caractère spéculaire de la traduction est examiné sous des angles multiples, qui n’éludent en rien les déformations et écarts constitutifs de la traduction, le jeu et la souplesse indispensables à la création d’un texte, et sont le reflet de la complexité inhérente à cette activité.";1;2020;"Artois Presses Université";"content?id=53ftDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";54
22;"The double joining";"Dora Teddy Pabingui";9.99;"Daniel Carter quitte sa profession de professeur pour devenir inspecteur de police F.B.I. Sa première mission consiste à arrêter les B4B, un groupe de jeunes voleurs âgés de 17 à 21 ans qui utilise son génie en informatique pour prendre le contrôle des caméras de surveillance des boutiques. Son collègue, Hudson Ivan poursuit quant à lui Zender Alvaro, un mafieux farfelu de New York qui multiplie des trafics de drogue et d’armes nucléaires avec l’aide de son collaborateur Yens River. Zender Alvaro recrute les B4B pour renforcer les stratégies de son équipe en vue d’un transfert d’armes nucléaires vers le Moyen-Orient. La mission « The Double Joining » va permettre aux deux inspecteurs, Daniel Carter et Hudson Ivan, de s’allier pour confronter la nouvelle équipe Zender-B4B et détruire la mafia du général Marc Grayson, à l’origine de la transaction. Un parcours du combattant où intelligence artificielle et affrontements à mains armées seront nombreux.";1;2020;"Éditions Baudelaire";"content?id=PXPLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";60
23;"Le double cadeau de Bailey - De dangereux sentiments";"Rachael Johns";5.99;"Le double cadeau de Bailey , Rachael Johns Une étreinte brûlante, insensée, interdite. Et voilà que Bailey se retrouve enceinte de jumeaux ! Désemparée, elle adresse un courrier anonyme au journal local de Jewell Rock, en quête de conseils. Dire ou ne pas dire à Quinn McKinnel qu’il va être papa, tel est son dilemme. Car l’homme qui lui a fait perdre la tête est un séducteur notoire, hostile à toute forme d’engagement. Mais, tandis que la réponse à sa lettre tarde à venir, Quinn lui parle soudain d’avenir et des projets qu’ils pourraient faire ensemble. Serait-il finalement l’homme de sa vie ? C’est ce que Bailey espère de tout son cœur, avant de découvrir le terrible secret que lui cache Quinn... De dangereux sentiments, Sheri Whitefeather Demander à Max – son meilleur ami et le fantasme de toute une vie – de l’épouser ? Bien que réticente à cette idée, Lizzie sait qu’elle n’a plus le choix. Car pour pouvoir adopter Tokoni, ce petit garçon de cinq ans qu’elle aime déjà comme son propre fils, il faut qu’elle soit mariée... Mais demander un tel service à Max, n’est-ce pas prendre un double risque ? Celui d’un refus ou, pire encore, celui d’un assentiment qui brouillerait totalement les limites entre eux...";1;2018;"Harlequin";"content?id=45hNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";85
24;"L'éditeur et son double";"Hubert Nyssen";11.99;"Dans le troisième volume de ces carnets, il est toujours question de voyages et de chasses aux coups de coeur, de livres parus et d'auteurs apparus, de conciliabules sous un platane et de 'domaines privés'.";1;2017;"Éditions Actes Sud";"content?id=lvcoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";80
25;"Un espion dans le siècle (1) : La diagonale du double";"Constantin Melnik";11.99;"La révolution d’Octobre et les convulsions de la guerre civile en Russie, l’affrontement de l’Occident avec Staline et les grandes affaires d’espionnage de la deuxième moitié du XXe siècle, l’assassinat de Nicolas II et une Seconde Guerre mondiale fort buissonnière, un portrait insolite du général de Gaulle et une guerre d’Algérie présentée sous un angle entièrement nouveau, tels sont les points forts d’une fresque autobiographique saisissante de puissance et d’ampleur. Mais l’auteur est d’origine russe, et des interrogations poignantes sous-tendent ce flot d’événements exceptionnels et cette galerie de personnages hors du commun. Le pouvoir ne s’exerce-t-il pas aux frontières du crime, comme le suggèrent les révélations d’ Un espion dans le siècle sur les opérations les plus secrètes des services spéciaux du gaullisme ? L’espionnage n’implique-t-il pas un dédoublement dramatique mais enrichissant de la personnalité ? La littérature consiste-t-elle seulement à fabriquer des feuilletons ou à chasser le prix Goncourt ? Éditeur et dernier monstre sacré de l’espionnage, « l’une des personnalités les plus influentes, d’après Le Monde, des débuts de la Ve République », Constantin Melnik a réalisé une étonnante prouesse littéraire. Homme de l’ombre et du mystère, il a réussi à donner une forme originale à l’une de ces grandes autobiographies qui, denses et ensorcelantes, se lisent, riches d’histoire, comme le plus passionnant des romans.";1;1994;"FeniXX";"content?id=NKCaDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";44
26;"813 (1. la double vie d'Arsène Lupin – 2. les trois crimes d'Arsène Lupin)";"Maurice Leblanc";1.99;"Rudolf Kesselbach, richissime et ambitieux roi du diamant sud-africain, est cambriolé et assassiné, la carte d'Arsène Lupin est découverte et tout indique que Lupin, qui a fait le mort depuis l'affaire de l'Aiguille au point que beaucoup ont cru à sa mort, cette fois n'a pas seulement neutralisé et volé sa victime, il a aussi versé le sang... Suivi de 813, les trois crimes d'Arsène Lupin : suite aux évènements du premier tome, Arsène Lupin se retrouve enfermé à la Santé tout en poursuivant son enquête... Maurice Leblanc a conçu '813' comme la dernière aventure d'Arsène Lupin. Le roman est moins 'léger', les morts violentes s'enchaînent et si Lupin est toujours sûr de lui, il trouve un adversaire qui a souvent un coup d'avance : un certain L...M... qui serait l'assassin de Kesselbach. Format professionnel électronique © Ink Book édition.";1;2013;"Ink book";"content?id=SzscCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";63
27;"Double meurtre dans les beaux quartiers, épisode 3 (dernier épisode)";"Agnes Ruiz";0.99;"La détective Rachel Toury tente d'éclaircir ces deux meurtres particulièrement atroces, mais il lui manque des informations. Puis des mensonges se glissent dans les témoignages... Agnès Ruiz est l'auteur de plusieurs best-sellers adultes et jeunesse (Ma vie assassinée, Oublie la nuit, Et si c'était ma vie, La main étrangère, L'ombre d'une autre vie, Mon affreux maillot beige, Pom-pom girls...). Ses nouvelles sur les enquêtes de la détective Rachel Toury connaissent également un vif succès autant en Europe qu'Outre-Atlantique. Plusieurs titres sont traduits en anglais, italien et espagnol. (L'assassinat d'un prêtre, Un striptease de trop, Un cadavre sur la plage, L'assassin de la gare...)";1;2018;"ARRA Editions";"content?id=or3CDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";12
28;"Les justiciers (Tome 3) - Une offre à double tranchant";"Zoë Archer";5.99;"Bronwyn Parrish a tout perdu à la mort de son mari. Elle envisage de trouver un emploi pour subsister lorsqu’elle reçoit la visite de l’énigmatique Marco, un agent de la Némésis. Cette organisation secrète qui lutte contre la corruption soupçonne de détournement de fonds Devere, l’homme qui a raflé les possessions de Bronwyn afin de rembourser les dettes de son défunt époux. Or la jeune femme est la seule à pouvoir identifier Devere qui s’est enfui en France. Il lui faut donc accompagner Marco. Tout d’abord réticente à s’en remettre à un total étranger, Bronwyn finit par se laisser entraîner dans l’aventure et, pour la première fois de sa vie, goûte à la saveur grisante de la liberté.";1;2015;"J'ai Lu";"content?id=KghiCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";12
29;"René Magritte le double sens des images";"Anne Durand";4.99;"Le nom du peintre René Magritte est associé par le public au mystère et au surréalisme. L'artiste est le plus souvent présenté comme un intellectuel dialoguant avec les philosophes de son temps sur le rapport des images et des mots. Et pourtant il existe un autre Magritte laissé dans l'ombre qui apparaît dans cet essai comme « le peintre de l'absence ». Le premier complice de l'artiste, le surréaliste Paul Nougé, nous invite à approcher autrement son génie. À condition d'accepter de lire « au pied de la lettre » certains tableaux célèbres, l'histoire dramatique du peintre se révèle à mots couverts, comme il le dit, sous une forme nouvelle et jamais osée jusque-là. Au travers des propos de Nougé, ce que Magritte appelait lui-même « sa poésie inquiétante » livrerait ici son plus émouvant secret.";1;2016;"Editions Edilivre";"content?id=-KILDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";125
30;"LE DOUBLE JEU";"Yves Hajos";2.99;"En 2006, nous déposons un permis de construire un immeuble à Cannes. La ville mondialement célèbre pour son Tapis Rouge. Pouvais-je imaginer qu'en mars 2009, le maire Adjoint à l'Urbanisme avait supprimé les mots Liberté Egalité Fraternité au profit de : 'Vous qui entrez dans mon bureau, oubliez toutes vos espérances'' Bienvenue dans le monde des politiciens pas si exemplaires. Des avocats qui exercent leur métier avec un dévouement pas si exemplaire. Des juges qui rendent une décision pas si exemplaire en 2021. Pénétrez, à votre tour, dans les coulisses de la mairie de Cannes et dans l'antre austère de l'Ordre des Avocats de Nice.";1;2021;"BoD - Books on Demand";"content?id=rE4wEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";15
